,Male,Age,Debt,Married,BankCustomer,EducationLevel,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income
310,0,24.83,4.5,1,0,12,7,1.0,0,0,0,1,0,96,6
370,1,33.0,2.5,2,2,12,7,7.0,0,0,0,1,0,74,0
88,1,34.0,4.5,1,0,0,7,1.0,1,0,0,1,0,61,0
490,0,47.25,0.75,1,0,10,3,2.75,1,1,1,0,0,89,892
74,1,44.83,7.0,2,2,1,7,1.625,0,0,0,0,0,23,2
678,0,17.92,10.21,1,0,5,2,0.0,0,0,0,0,0,0,50
481,1,23.5,3.165,2,2,8,7,0.415,0,1,1,1,0,74,80
162,1,25.08,1.71,1,0,13,7,1.665,1,1,1,1,0,107,20
136,1,39.92,0.54,2,2,0,7,0.5,1,1,3,0,0,40,1000
152,1,37.33,6.5,1,0,9,3,4.25,1,1,12,1,0,165,0
126,1,47.67,2.5,1,0,9,0,2.5,1,1,12,1,0,113,2510
382,0,24.33,2.5,2,2,6,0,4.5,0,0,0,0,0,40,456
500,1,31.56817109144546,4.0,1,0,13,7,5.0,1,1,3,1,0,77,2279
673,1,29.5,2.0,2,2,4,3,2.0,0,0,0,0,0,66,17
167,0,32.33,0.54,1,0,2,7,0.04,1,0,0,0,0,122,11177
151,0,58.33,10.0,1,0,10,7,4.0,1,1,14,0,0,0,1602
351,1,22.17,0.585,2,2,5,2,0.0,0,0,0,0,0,1,0
577,1,25.17,6.0,1,0,1,7,1.0,1,1,3,0,0,0,0
116,1,37.75,7.0,1,0,10,3,11.5,1,1,7,1,0,80,5
280,1,21.17,0.875,2,2,1,3,0.25,0,0,0,0,0,74,204
41,1,28.92,15.0,1,0,1,3,5.335,1,1,11,0,0,0,2283
386,1,22.58,1.5,2,2,0,7,0.54,0,0,0,1,0,8,67
538,1,34.25,1.75,1,0,12,0,0.25,1,0,0,1,0,24,0
327,1,40.83,3.5,1,0,6,0,0.5,0,0,0,0,2,6,0
400,1,20.75,5.085,2,2,7,7,0.29,0,0,0,0,0,15,184
595,1,25.75,0.75,1,0,1,0,0.25,1,0,0,0,0,92,23
321,0,18.08,0.375,0,1,2,2,10.0,0,0,0,1,2,80,0
681,1,27.83,1.0,2,2,3,3,3.0,0,0,0,0,0,32,537
360,0,30.25,5.5,1,0,8,7,5.5,0,0,0,1,2,1,0
437,0,53.33,0.165,1,0,5,2,0.0,0,0,0,1,2,149,27
86,1,31.56817109144546,0.375,1,0,3,7,0.875,1,0,0,1,2,164,0
405,0,69.5,6.0,1,0,5,2,0.0,0,0,0,0,2,0,0
262,0,48.17,1.335,1,0,6,6,0.335,0,0,0,0,0,0,120
49,1,23.92,0.665,1,0,1,7,0.165,0,0,0,0,0,1,0
295,0,31.92,3.125,1,0,5,2,3.04,0,1,2,1,0,40,4
65,1,34.17,1.54,1,0,2,7,1.54,1,1,1,1,0,141,50000
380,1,43.17,5.0,1,0,6,0,2.25,0,0,0,1,0,16,0
480,0,16.92,0.5,1,0,6,7,0.165,0,1,6,1,0,61,35
507,0,24.75,3.0,1,0,10,3,1.835,1,1,19,0,0,0,500
243,0,18.75,7.5,1,0,10,7,2.71,1,1,5,0,0,0,26726
404,1,34.0,5.085,2,2,6,0,1.085,0,0,0,1,0,131,0
656,1,25.67,3.25,1,0,1,3,2.29,0,1,1,1,0,115,21
238,1,42.83,4.625,1,0,10,7,4.58,1,0,0,0,2,0,0
651,0,15.83,7.625,1,0,10,7,0.125,0,1,1,1,0,0,160
259,0,24.5,1.75,2,2,1,7,0.165,0,0,0,0,0,13,0
245,1,33.17,3.04,2,2,1,3,2.04,1,1,1,1,0,34,18027
29,1,42.08,1.04,1,0,12,7,5.0,1,1,6,1,0,136,10000
318,1,19.17,0.0,2,2,9,0,0.0,0,0,0,1,2,136,1
214,1,26.67,2.71,2,2,2,7,5.25,1,1,1,0,0,47,0
423,1,26.17,0.835,1,0,2,7,1.165,0,0,0,0,0,1,0
236,1,26.17,0.25,1,0,6,0,0.0,1,0,0,1,0,0,0
299,1,22.17,12.125,1,0,1,7,3.335,0,1,2,1,0,34,173
185,1,48.75,8.5,1,0,1,3,12.5,1,1,9,0,0,35,1655
215,1,48.17,3.5,1,0,0,7,3.5,1,0,0,0,2,56,0
108,1,40.92,2.25,2,2,13,3,10.0,1,0,0,1,0,32,0
289,0,21.75,1.75,2,2,7,4,0.0,0,0,0,0,0,23,0
683,1,36.42,0.75,2,2,3,7,0.585,0,0,0,0,0,61,3
76,1,34.08,6.5,1,0,0,7,0.125,1,0,0,1,0,123,0
462,1,21.92,0.5,1,0,1,7,0.125,0,0,0,0,0,96,0
565,0,20.83,3.0,1,0,0,7,0.04,1,0,0,0,0,1,0
355,0,16.0,0.165,1,0,0,7,1.0,0,1,2,1,0,86,1
553,1,38.58,3.335,1,0,12,7,4.0,1,1,14,0,0,105,1344
587,1,51.58,15.0,1,0,1,7,8.5,1,1,9,0,0,0,0
135,1,48.58,6.5,1,0,10,3,6.0,1,0,0,1,0,93,0
9,1,42.5,4.915,2,2,12,7,3.165,1,0,0,1,0,140,1442
32,1,49.5,7.585,1,0,6,0,7.585,1,1,15,1,0,0,5000
79,1,21.5,9.75,1,0,1,7,0.25,1,0,0,0,0,15,0
95,0,28.58,3.54,1,0,6,0,0.5,1,0,0,1,0,30,0
469,1,16.33,4.085,1,0,6,3,0.415,0,0,0,1,0,8,0
106,1,28.75,1.165,1,0,8,7,0.5,1,0,0,0,2,74,0
37,0,23.0,11.75,1,0,13,3,0.5,1,1,2,1,0,80,551
628,1,29.25,13.0,1,0,3,3,0.5,0,0,0,0,0,55,0
476,1,23.58,0.835,1,0,6,3,0.085,0,0,0,1,0,51,5
464,0,23.0,1.835,1,0,7,4,0.0,0,1,1,0,0,40,53
244,1,18.5,2.0,1,0,6,7,1.5,1,1,2,0,0,8,300
301,1,18.25,0.165,1,0,3,7,0.25,0,0,0,1,2,74,0
545,1,44.25,11.0,2,2,3,7,1.5,1,0,0,0,2,0,0
604,1,23.42,0.585,1,0,1,3,0.085,1,0,0,0,0,34,0
671,1,25.83,12.835,1,0,2,7,0.5,0,0,0,0,0,0,2
597,0,21.5,6.0,1,0,0,7,2.5,1,1,3,0,0,159,918
503,1,28.25,5.125,1,0,13,7,4.75,1,1,2,0,0,116,7
261,0,52.17,0.0,2,2,5,2,0.0,0,0,0,0,0,0,0
129,0,28.42,3.5,1,0,12,7,0.835,1,0,0,0,2,74,0
362,1,26.83,0.54,1,0,8,2,0.0,0,0,0,0,0,1,0
627,1,36.08,2.54,1,0,5,2,0.0,0,0,0,0,0,0,1000
467,0,30.42,1.375,1,0,12,3,0.04,0,1,3,0,0,0,33
535,0,33.92,1.585,2,2,5,2,0.0,1,0,0,0,0,86,0
620,1,22.17,2.25,1,0,6,7,0.125,0,0,0,0,0,23,10
274,1,30.67,2.5,1,0,2,3,2.25,0,0,0,1,2,90,0
206,0,71.58,0.0,1,0,1,7,0.0,0,0,0,0,1,0,0
121,1,25.67,12.5,1,0,2,7,1.21,1,1,67,1,0,15,258
150,0,46.67,0.46,1,0,2,3,0.415,1,1,11,1,0,122,6
133,1,36.25,5.0,1,0,1,0,2.5,1,1,6,0,0,0,367
394,1,41.17,1.25,2,2,12,7,0.25,0,0,0,0,0,0,195
546,1,23.58,0.46,2,2,12,7,2.625,1,1,6,1,0,44,347
568,1,43.08,0.375,2,2,1,7,0.375,1,1,8,1,0,80,162
592,1,23.17,0.0,1,0,1,7,0.0,0,0,0,0,1,0,0
200,0,24.08,0.5,1,0,10,3,1.25,1,1,1,0,0,0,678
366,0,22.75,6.165,1,0,0,7,0.165,0,0,0,0,0,51,1000
197,1,48.17,7.625,1,0,12,3,15.5,1,1,12,0,0,0,790
514,1,22.67,2.54,2,2,1,3,2.585,1,0,0,0,0,0,0
452,1,36.5,4.25,1,0,10,7,3.5,0,0,0,0,0,126,50
640,1,34.17,2.75,1,0,6,0,2.5,0,0,0,1,0,58,200
552,1,34.75,15.0,1,0,11,5,5.375,1,1,9,1,0,0,134
608,1,31.56817109144546,0.04,2,2,3,7,4.25,0,0,0,1,0,128,0
149,0,52.83,15.0,1,0,1,7,5.5,1,1,14,0,0,0,2200
352,1,22.5,11.5,2,2,9,7,1.5,0,0,0,1,0,0,4000
521,0,30.0,5.29,1,0,4,1,2.25,1,1,5,1,0,169,500
347,1,26.75,4.5,2,2,1,0,2.5,0,0,0,0,0,40,1210
647,1,24.08,9.0,1,0,0,7,0.25,0,0,0,1,0,0,0
667,0,17.92,0.54,1,0,1,7,1.75,0,1,1,1,0,159,5
466,1,31.08,3.085,1,0,1,7,2.5,0,1,2,1,0,23,41
658,0,15.75,0.375,1,0,1,7,1.0,0,0,0,0,0,8,18
515,1,31.56817109144546,10.5,1,0,13,7,6.5,1,0,0,0,0,0,0
407,0,19.58,0.665,2,2,1,7,1.0,0,1,1,0,0,41,2
463,0,36.58,0.29,1,0,5,2,0.0,0,1,10,0,0,40,18
688,1,17.92,0.205,1,0,0,7,0.04,0,0,0,0,0,74,750
309,0,31.75,3.0,2,2,7,4,0.0,0,0,0,0,0,23,20
381,0,22.67,7.0,1,0,1,7,0.165,0,0,0,0,0,23,0
279,1,16.25,0.835,1,0,9,7,0.085,1,0,0,0,2,40,0
147,0,40.33,7.54,2,2,10,3,8.0,1,1,14,0,0,0,2300
305,1,48.75,26.335,2,2,5,2,0.0,1,0,0,1,0,0,0
242,1,28.33,5.0,1,0,12,7,11.0,1,0,0,1,0,152,0
512,0,44.33,0.0,1,0,1,7,2.5,1,0,0,0,0,0,0
499,1,20.42,7.0,1,0,1,7,1.625,1,1,3,0,0,40,1391
586,1,64.08,20.0,1,0,13,3,17.5,1,1,9,1,0,0,1000
90,1,62.5,12.75,2,2,1,3,5.0,1,0,0,0,0,5,0
296,1,69.17,9.0,1,0,5,2,4.0,0,1,1,0,0,152,6
33,0,36.75,5.125,1,0,4,7,5.0,1,0,0,1,0,0,4000
485,1,74.83,19.0,2,2,5,2,0.04,0,1,2,0,0,0,351
475,1,26.75,2.0,1,0,3,7,0.75,0,0,0,1,0,159,0
377,1,20.67,0.835,2,2,1,7,2.0,0,0,0,1,2,61,0
303,0,15.92,2.875,1,0,10,7,0.085,0,0,0,0,0,8,0
385,1,34.0,5.5,2,2,1,7,1.5,0,0,0,1,0,147,0
196,1,33.17,3.165,2,2,13,7,3.165,1,1,3,1,0,103,0
204,1,36.33,2.125,2,2,12,7,0.085,1,1,1,0,0,135,1187
52,1,37.42,2.04,1,0,12,7,0.04,1,0,0,1,0,111,5800
486,1,28.17,0.125,2,2,8,7,0.085,0,0,0,0,0,49,2100
184,0,22.42,5.665,1,0,10,7,2.585,1,1,7,0,0,11,3257
588,1,26.67,1.75,2,2,1,7,1.0,1,1,5,1,0,23,5777
180,1,47.67,0.29,1,0,1,0,15.0,1,1,20,0,0,0,15000
680,1,19.5,0.29,1,0,8,7,0.29,0,0,0,0,0,74,364
641,1,33.17,2.25,2,2,2,7,3.5,0,0,0,1,0,40,141
429,1,33.58,0.335,2,2,2,7,0.085,0,0,0,0,0,34,0
590,1,30.17,6.5,1,0,2,7,3.125,1,1,8,0,0,88,1200
103,1,25.0,12.0,1,0,8,7,2.25,1,1,2,1,0,8,5
42,1,29.67,1.415,1,0,12,3,0.75,1,1,1,0,0,61,100
652,0,22.5,0.415,1,0,6,7,0.335,0,0,0,1,2,17,0
284,1,23.25,12.625,1,0,1,7,0.125,0,1,2,0,0,0,5552
187,1,40.58,5.0,1,0,1,7,5.0,1,1,7,0,0,0,3065
609,1,47.83,4.165,1,0,13,0,0.085,0,0,0,1,0,141,0
513,1,20.25,9.96,1,0,4,1,0.0,1,0,0,0,0,0,0
181,0,21.25,2.335,1,0,6,0,0.5,1,1,4,0,2,159,0
373,1,26.25,1.54,1,0,12,7,0.125,0,0,0,0,0,1,0
622,0,25.58,0.0,1,0,1,7,0.0,0,0,0,0,1,0,0
442,1,30.58,2.71,2,2,9,7,0.125,0,0,0,1,2,159,0
12,0,38.25,6.0,1,0,8,7,1.0,1,0,0,1,0,0,0
580,1,31.67,0.83,1,0,13,7,1.335,1,1,8,1,0,81,3290
687,0,25.25,13.5,2,2,5,2,2.0,0,1,1,1,0,40,1
470,0,21.92,11.665,1,0,8,3,0.085,0,0,0,0,0,86,5
369,1,21.42,0.75,2,2,11,5,0.75,0,0,0,1,0,13,2
672,0,50.25,0.835,1,0,0,7,0.5,0,0,0,1,0,61,117
531,0,24.58,0.67,1,0,0,3,1.75,1,0,0,0,0,111,0
341,1,42.75,4.085,1,0,0,7,0.04,0,0,0,0,0,3,100
433,1,25.25,1.0,1,0,0,7,0.5,0,0,0,0,0,40,0
549,1,48.33,12.0,1,0,9,7,16.0,1,0,0,0,2,4,0
533,1,40.92,0.835,1,0,5,2,0.0,1,0,0,0,0,12,1
482,0,17.33,9.5,1,0,0,7,1.75,0,1,10,1,0,0,10
207,1,28.67,9.335,1,0,10,3,5.665,1,1,6,0,0,104,168
340,0,39.08,4.0,1,0,1,7,3.0,0,0,0,0,0,131,0
443,1,17.25,3.0,1,0,8,7,0.04,0,0,0,1,0,23,40
686,0,22.67,0.75,1,0,1,7,2.0,0,1,2,1,0,40,394
408,1,16.0,3.125,1,0,12,7,0.085,0,1,1,0,0,0,6
559,0,22.83,2.29,1,0,10,3,2.29,1,1,7,1,0,15,2384
20,1,25.0,11.25,1,0,1,7,2.5,1,1,17,0,0,40,1208
663,1,32.08,4.0,2,2,2,7,1.5,0,0,0,1,0,8,0
573,0,65.17,14.0,1,0,5,2,0.0,1,1,11,1,0,0,1400
562,1,23.33,1.5,1,0,1,3,1.415,1,0,0,0,0,117,200
367,1,39.42,1.71,2,2,9,7,0.165,0,0,0,0,2,111,0
660,1,22.25,9.0,1,0,0,7,0.085,0,0,0,0,0,0,0
603,1,20.08,0.25,1,0,10,7,0.125,0,0,0,0,0,40,0
179,1,20.17,8.17,1,0,0,7,1.96,1,1,14,0,0,147,158
60,1,56.75,12.25,1,0,9,7,1.25,1,1,4,1,0,40,0
115,0,25.42,1.125,1,0,10,7,1.29,1,1,2,0,0,40,0
634,0,23.75,0.71,1,0,12,7,0.25,0,1,1,1,0,61,4
455,1,36.17,18.125,1,0,12,7,0.085,0,0,0,0,0,86,3552
406,0,40.33,8.125,2,2,8,7,0.165,0,1,2,0,0,0,18
216,1,41.17,4.04,1,0,2,3,7.0,1,1,8,0,0,86,0
636,1,40.92,0.5,2,2,9,7,0.5,0,0,0,1,0,12,0
66,0,36.0,1.0,1,0,1,7,2.0,1,1,11,0,0,0,456
357,0,19.5,0.165,1,0,10,7,0.04,0,0,0,1,0,103,0
631,0,27.25,0.29,1,0,9,3,0.125,0,1,1,1,0,70,108
304,0,24.75,13.665,1,0,10,3,1.5,0,0,0,0,0,74,1
421,1,20.42,1.085,1,0,10,7,1.5,0,0,0,0,0,3,7
21,1,23.25,1.0,1,0,1,7,0.835,1,0,0,0,2,80,0
208,1,35.17,2.5,1,0,8,7,4.5,1,1,7,0,0,19,1270
617,1,32.25,14.0,2,2,5,2,0.0,0,1,2,0,0,23,1
137,1,33.58,2.75,1,0,9,7,4.25,1,1,6,0,0,43,0
607,1,32.33,3.5,1,0,8,7,0.5,0,0,0,1,0,58,0
165,0,40.83,10.0,1,0,10,3,1.75,1,0,0,0,0,76,837
22,0,47.75,8.0,1,0,1,7,7.875,1,1,6,1,0,0,1260
1,0,58.67,4.46,1,0,10,3,3.04,1,1,6,0,0,118,560
354,1,36.67,2.0,1,0,6,7,0.25,0,0,0,1,0,52,0
625,1,23.75,12.0,1,0,1,7,2.085,0,0,0,0,2,159,0
427,1,37.5,0.835,1,0,4,7,0.04,0,0,0,0,0,8,5
260,1,32.75,2.335,1,0,3,3,5.75,0,0,0,1,0,78,0
218,1,53.92,9.625,1,0,4,7,8.665,1,1,5,0,0,0,0
346,1,32.25,1.5,1,0,1,7,0.25,0,0,0,1,0,101,122
602,1,29.83,1.25,2,2,8,7,0.25,0,0,0,0,0,53,0
282,1,17.67,4.46,1,0,1,7,0.25,0,0,0,0,2,159,0
402,0,51.92,6.5,1,0,6,0,3.085,0,0,0,1,0,155,0
439,1,25.92,0.875,1,0,8,7,0.375,0,1,2,1,0,31,3
27,1,56.58,18.5,1,0,3,0,15.0,1,1,17,1,0,0,0
537,1,35.25,3.165,1,0,13,3,3.75,1,0,0,1,0,151,0
518,0,28.17,0.375,1,0,10,7,0.585,1,1,4,0,0,159,0
581,1,41.0,0.04,1,0,4,7,0.04,0,1,1,0,2,145,0
551,1,51.33,10.0,1,0,6,0,0.0,1,1,11,0,0,0,1249
493,0,20.5,11.835,1,0,1,3,6.0,1,0,0,0,0,90,0
153,1,23.08,2.5,1,0,1,7,1.085,1,1,11,1,0,147,2184
170,0,25.08,2.54,2,2,0,7,0.25,1,0,0,1,0,99,0
418,1,38.42,0.705,1,0,1,7,0.375,0,1,2,0,0,54,500
46,0,41.0,2.04,2,2,10,3,0.125,1,1,23,1,0,127,1236
297,1,32.92,2.5,1,0,0,7,1.75,0,1,2,1,0,154,0
237,1,21.33,7.5,1,0,0,7,1.415,1,1,1,0,0,159,9800
468,1,22.08,2.335,1,0,8,7,0.75,0,0,0,0,0,34,0
457,1,29.67,0.75,2,2,1,7,0.04,0,0,0,0,0,61,0
107,0,25.0,11.0,2,2,0,7,4.5,1,0,0,0,0,8,0
4,1,20.17,5.625,1,0,12,7,1.71,1,0,0,0,2,8,0
39,1,54.58,9.415,1,0,5,2,14.415,1,1,11,1,0,79,300
336,1,47.33,6.5,1,0,1,7,1.0,0,0,0,1,0,0,228
109,0,19.75,0.75,1,0,1,7,0.795,1,1,5,1,0,15,5
306,1,23.5,2.75,1,0,5,2,4.5,0,0,0,0,0,23,25
447,0,27.33,1.665,1,0,5,2,0.0,0,0,0,0,0,90,1
231,0,47.42,3.0,1,0,13,7,13.875,1,1,2,1,0,139,1704
16,1,28.25,0.875,1,0,9,7,0.96,1,1,3,1,0,108,0
220,0,50.08,12.54,1,0,0,7,2.29,1,1,3,1,0,22,0
477,1,39.17,2.5,2,2,6,3,10.0,0,0,0,1,2,40,0
332,1,34.08,2.5,1,0,1,7,1.0,0,0,0,0,0,128,16
451,1,39.5,1.625,1,0,1,7,1.5,0,0,0,0,0,0,316
453,1,29.75,0.665,1,0,12,7,0.25,0,0,0,1,0,80,0
338,0,33.25,3.0,2,2,0,7,2.0,0,0,0,0,0,34,0
248,1,24.5,12.75,1,0,1,0,4.75,1,1,2,0,0,155,444
156,0,28.5,3.04,2,2,13,3,2.54,1,1,1,0,0,152,0
164,0,60.58,16.5,1,0,10,7,11.0,1,0,0,1,0,45,10561
128,1,34.42,4.25,1,0,6,0,3.25,1,1,2,0,0,71,610
17,0,23.25,5.875,1,0,10,7,3.17,1,1,10,0,0,8,245
55,1,23.33,11.625,2,2,12,7,0.835,1,0,0,1,0,23,300
472,1,17.42,6.5,1,0,6,7,0.125,0,0,0,0,0,147,100
270,1,37.58,0.0,1,0,1,7,0.0,0,0,0,0,1,0,0
146,1,23.25,1.5,1,0,10,7,2.375,1,1,3,1,0,0,582
217,1,55.92,11.5,1,0,5,2,5.0,1,1,5,0,0,0,8851
600,0,29.5,0.46,1,0,8,7,0.54,1,1,4,0,0,103,500
